run_name,arch,test_accuracy,num_params,train_time_sec,generalisation_gap,dropout_rate,l2_strength,acc_per_10k_params
mlp_drop0.3,mlp,0.8820000290870667,101770,93.69702672958374,0.01237499713897705,0.3,0.0,0.0866660144528905
mlp_drop0.3_l20.0001,mlp,0.8784999847412109,101770,86.0511794090271,0.008166670799255371,0.3,0.0001,0.08632209735100825
baseline_mlp,mlp,0.875,101770,96.62025952339172,0.04566669464111328,0.0,0.0,0.08597818610592513
mlp_baseline,mlp,0.8676999807357788,101770,96.16598701477051,0.05079162120819092,0.0,0.0,0.08526088048892393
mlp_l20.0001,mlp,0.8657000064849854,101770,95.91301155090332,0.04229164123535156,0.0,0.0001,0.08506436145081904
cnn_drop0.3,cnn,0.9178000092506409,421642,704.5037086009979,0.044354140758514404,0.3,0.0,0.02176728146746863
cnn_drop0.3_l20.0001,cnn,0.9164999723434448,421642,567.1003985404968,0.03695833683013916,0.3,0.0001,0.021736448749020372
cnn_baseline,cnn,0.9158999919891357,421642,720.857798576355,0.06604164838790894,0.0,0.0,0.021722219133509843
baseline_cnn,cnn,0.9138000011444092,421642,720.3867425918579,0.07025003433227539,0.0,0.0,0.021672414065591405
cnn_l20.0001,cnn,0.9045000076293945,421642,719.0616834163666,0.06375002861022949,0.0,0.0001,0.021451847957020282
