model,condition,level,accuracy
mlp_baseline,clean,0,0.875
mlp_dropout,clean,0,0.8820000290870667
cnn_baseline,clean,0,0.9138000011444092
cnn_dropout,clean,0,0.9178000092506409
mlp_baseline,gaussian_noise,0.05,0.8586000204086304
mlp_dropout,gaussian_noise,0.05,0.8758999705314636
cnn_baseline,gaussian_noise,0.05,0.899399995803833
cnn_dropout,gaussian_noise,0.05,0.9114000201225281
mlp_baseline,gaussian_noise,0.1,0.8281000256538391
mlp_dropout,gaussian_noise,0.1,0.8654000163078308
cnn_baseline,gaussian_noise,0.1,0.8533999919891357
cnn_dropout,gaussian_noise,0.1,0.8855999708175659
mlp_baseline,gaussian_noise,0.15,0.769599974155426
mlp_dropout,gaussian_noise,0.15,0.839900016784668
cnn_baseline,gaussian_noise,0.15,0.7452999949455261
cnn_dropout,gaussian_noise,0.15,0.833299994468689
mlp_baseline,gaussian_noise,0.2,0.691100001335144
mlp_dropout,gaussian_noise,0.2,0.7993000149726868
cnn_baseline,gaussian_noise,0.2,0.5981000065803528
cnn_dropout,gaussian_noise,0.2,0.7483000159263611
mlp_baseline,translation,1,0.6924999952316284
mlp_dropout,translation,1,0.7322999835014343
cnn_baseline,translation,1,0.8259000182151794
cnn_dropout,translation,1,0.8565999865531921
mlp_baseline,translation,2,0.322299987077713
mlp_dropout,translation,2,0.3102000057697296
cnn_baseline,translation,2,0.4740000069141388
cnn_dropout,translation,2,0.6193000078201294
mlp_baseline,translation,3,0.16459999978542328
mlp_dropout,translation,3,0.148499995470047
cnn_baseline,translation,3,0.22100000083446503
cnn_dropout,translation,3,0.3021000027656555
mlp_baseline,cutout,4,0.8622999787330627
mlp_dropout,cutout,4,0.8687999844551086
cnn_baseline,cutout,4,0.8827000260353088
cnn_dropout,cutout,4,0.8932999968528748
mlp_baseline,cutout,6,0.8373000025749207
mlp_dropout,cutout,6,0.8497999906539917
cnn_baseline,cutout,6,0.8658000230789185
cnn_dropout,cutout,6,0.8776000142097473
mlp_baseline,cutout,8,0.7964000105857849
mlp_dropout,cutout,8,0.8125
cnn_baseline,cutout,8,0.8411999940872192
cnn_dropout,cutout,8,0.8551999926567078
